location,num_sequences,perc_sequences,num_sequences_total,alpha-3
Argentina,874,339.71,1183,ARG
Aruba,172,300.0,172,ABW
Australia,8783,409.98,10479,AUS
Austria,1509,381.01,1543,AUT
Bahrain,837,200.0,837,BHR
Bangladesh,386,476.65999999999997,396,BGD
Belgium,13173,508.0,13974,BEL
Bosnia and Herzegovina,576,400.0,576,BIH
Botswana,298,283.75,708,BWA
Brazil,9645,436.1,9902,BRA
Brunei Darussalam,290,427.27,298,BRN
Bulgaria,1691,300.0,1691,BGR
Cambodia,626,474.23,653,KHM
Canada,21969,448.74,22599,CAN
Chile,3480,434.27,3830,CHL
Colombia,1594,443.06,1738,COL
Costa Rica,496,463.5,512,CRI
Croatia,3144,399.14,3152,HRV
Curaçao,119,400.0,119,CUW
Czechia,6483,536.53,6558,CZE
Denmark,93719,443.15999999999997,98761,DNK
Djibouti,2,100.0,2,DJI
Dominican Republic,20,100.0,20,DOM
Ecuador,356,423.57,406,ECU
Egypt,84,298.48,86,EGY
Estonia,1060,400.0,1060,EST
Finland,1148,300.0,1148,FIN
France,39990,490.44,41146,FRA
Georgia,383,455.62,431,GEO
Germany,89736,483.55,92083,DEU
Ghana,108,215.88,205,GHA
Greece,1907,399.67,1909,GRC
Guatemala,69,400.0,69,GTM
Hong Kong,112,362.73,167,HKG
India,5619,440.69,6087,IND
Indonesia,796,454.55,932,IDN
Iran (Islamic Republic of),0,0.0,3,IRN
Iraq,1,100.0,1,IRQ
Ireland,5597,383.57,5738,IRL
Israel,9183,430.43,11145,ISR
Italy,13961,473.03,14656,ITA
Jamaica,5,71.43,7,JAM
Japan,1458,409.11,1608,JPN
Jordan,152,417.15,178,JOR
Kenya,101,293.83,142,KEN
"Korea, Republic of",6500,498.91999999999996,6517,KOR
Kuwait,39,366.67,40,KWT
Lebanon,0,0.0,4,LBN
Liechtenstein,329,398.40999999999997,331,LIE
Lithuania,4085,475.47,4144,LTU
Luxembourg,3260,399.85,3261,LUX
Malawi,1,100.0,35,MWI
Malaysia,1354,481.72,1375,MYS
Maldives,324,473.63,335,MDV
Malta,199,400.0,233,MLT
Mauritius,99,264.43,115,MUS
Mexico,5226,542.64,5490,MEX
"Moldova, Republic of",51,500.0,51,MDA
Monaco,7,300.0,7,MCO
Montenegro,160,391.3,166,MNE
Morocco,40,406.25,55,MAR
Mozambique,4,225.0,21,MOZ
Nepal,62,488.0,65,NPL
Netherlands,14068,511.61,14562,NLD
New Zealand,2103,479.88,2179,NZL
Nigeria,111,291.29,195,NGA
North Macedonia,48,200.0,48,MKD
Norway,6172,445.35,6480,NOR
Oman,0,0.0,9,OMN
Pakistan,109,368.84000000000003,141,PAK
Papua New Guinea,157,300.0,157,PNG
Paraguay,13,92.86,14,PRY
Peru,2236,366.88,2371,PER
Poland,13863,586.24,13913,POL
Portugal,4553,469.0,4749,PRT
Qatar,206,298.0,207,QAT
Romania,1127,482.44,1142,ROU
Russian Federation,1996,468.01,2046,RUS
Rwanda,7,100.0,7,RWA
Senegal,41,324.04,74,SEN
Seychelles,21,100.0,21,SYC
Singapore,2186,442.42,2468,SGP
Sint Maarten (Dutch part),88,400.0,88,SXM
Slovakia,6627,487.90999999999997,6645,SVK
Slovenia,9195,399.54,9202,SVN
South Africa,396,177.45999999999998,2340,ZAF
Spain,7686,441.74,8394,ESP
Sri Lanka,637,503.29,690,LKA
Suriname,79,400.0,79,SUR
Sweden,17681,457.03000000000003,18347,SWE
Switzerland,23576,455.29,24395,CHE
Thailand,2512,471.03,2533,THA
Trinidad and Tobago,485,450.34,525,TTO
Turkey,9843,490.09,10052,TUR
Uganda,0,0.0,1,UGA
Ukraine,172,400.0,173,UKR
United Kingdom of Great Britain and Northern Ireland,438333,428.74,503692,GBR
United States of America,443526,463.89,474283,USA
Viet Nam,294,498.0,295,VNM
Zambia,0,0.0,46,ZMB
Zimbabwe,6,100.0,6,ZWE
