location,num_sequences,perc_sequences,num_sequences_total,alpha-3
Angola,0,0.0,1055,AGO
Argentina,93,100.05,8411,ARG
Aruba,0,0.0,3000,ABW
Australia,1693,89.89,47199,AUS
Austria,34,18.990000000000002,12580,AUT
Bahrain,0,0.0,2242,BHR
Bangladesh,10,123.34,3700,BGD
Belgium,789,91.48,75027,BEL
Belize,0,0.0,314,BLZ
Benin,0,0.0,750,BEN
Bosnia and Herzegovina,0,0.0,992,BIH
Botswana,380,200.73,2200,BWA
Brazil,189,61.339999999999996,90020,BRA
Brunei Darussalam,8,72.73,331,BRN
Bulgaria,0,0.0,10234,BGR
Cambodia,19,19.52,1978,KHM
Cameroon,0,0.0,536,CMR
Canada,612,50.94,181885,CAN
Chile,301,60.470000000000006,17435,CHL
Colombia,38,35.47,10285,COL
Costa Rica,15,35.82,2153,CRI
Croatia,8,0.86,13569,HRV
Curaçao,0,0.0,978,CUW
Cyprus,0,0.0,590,CYP
Czechia,65,62.160000000000004,20362,CZE
Denmark,4823,53.8,280370,DNK
Djibouti,0,0.0,367,DJI
Dominican Republic,0,0.0,565,DOM
Ecuador,29,50.5,3523,ECU
Egypt,1,100.0,1335,EGY
Estonia,0,0.0,8042,EST
Ethiopia,0,0.0,522,ETH
Fiji,0,0.0,525,FJI
Finland,0,0.0,22360,FIN
France,843,105.61,150116,FRA
Gambia,0,0.0,863,GMB
Georgia,46,41.82,840,GEO
Germany,2270,16.009999999999998,327143,DEU
Ghana,83,156.54000000000002,2343,GHA
Greece,2,0.33,12204,GRC
Guatemala,0,0.0,1449,GTM
Hong Kong,55,137.27,2519,HKG
Hungary,0,0.0,326,HUN
Iceland,0,0.0,8274,ISL
India,215,38.54,91028,IND
Indonesia,130,42.56,11411,IDN
Iran (Islamic Republic of),1,100.0,369,IRN
Iraq,0,0.0,167,IRQ
Ireland,140,16.32,45428,IRL
Israel,1798,61.41,35997,ISR
Italy,526,21.799999999999997,79618,ITA
Jamaica,0,0.0,366,JAM
Japan,150,90.89,177839,JPN
Jordan,25,80.28999999999999,1189,JOR
Kazakhstan,0,0.0,429,KAZ
Kenya,38,99.49,5297,KEN
"Korea, Republic of",17,1.08,20798,KOR
Kuwait,1,33.33,328,KWT
Latvia,0,0.0,6290,LVA
Lebanon,4,100.0,1009,LBN
Liechtenstein,2,1.59,461,LIE
Lithuania,56,24.25,25383,LTU
Luxembourg,1,0.15,18969,LUX
Madagascar,0,0.0,772,MDG
Malawi,34,200.0,811,MWI
Malaysia,17,17.28,7242,MYS
Maldives,11,26.369999999999997,865,MDV
Malta,34,100.0,603,MLT
Mauritius,6,7.32,468,MUS
Mexico,254,56.58,42833,MEX
"Moldova, Republic of",0,0.0,152,MDA
Monaco,0,0.0,84,MCO
Mongolia,0,0.0,150,MNG
Montenegro,6,8.7,447,MNE
Morocco,15,93.75,400,MAR
Mozambique,17,175.0,927,MOZ
Nepal,3,12.0,368,NPL
Netherlands,489,84.18,82747,NLD
New Zealand,76,120.12,4759,NZL
Nigeria,84,209.01,3674,NGA
North Macedonia,0,0.0,738,MKD
Norway,308,54.65,37658,NOR
Oman,9,200.0,446,OMN
Pakistan,22,177.89,1572,PAK
Papua New Guinea,0,0.0,3366,PNG
Paraguay,0,0.0,879,PRY
Peru,12,103.08,12210,PER
Philippines,0,0.0,12738,PHL
Poland,46,13.62,39384,POL
Portugal,194,30.810000000000002,22892,PRT
Qatar,0,0.0,4047,QAT
Romania,15,17.56,8566,ROU
Russian Federation,48,31.02,11539,RUS
Rwanda,0,0.0,689,RWA
Senegal,32,170.96,695,SEN
Serbia,0,0.0,477,SRB
Seychelles,0,0.0,543,SYC
Singapore,278,56.739999999999995,10323,SGP
Sint Maarten (Dutch part),0,0.0,1798,SXM
Slovakia,17,10.83,17648,SVK
Slovenia,7,0.46,43676,SVN
South Africa,1872,297.43,25986,ZAF
Spain,703,57.93000000000001,78239,ESP
Sri Lanka,48,85.52000000000001,2354,LKA
Suriname,0,0.0,931,SUR
Sweden,634,40.61,137854,SWE
Switzerland,782,44.089999999999996,99667,CHE
Thailand,18,28.65,9018,THA
Togo,0,0.0,338,TGO
Trinidad and Tobago,10,24.759999999999998,1436,TTO
Turkey,205,9.729999999999999,76858,TUR
Uganda,1,100.0,795,UGA
Ukraine,1,100.0,614,UKR
United Arab Emirates,0,0.0,2490,ARE
United Kingdom of Great Britain and Northern Ireland,65137,171.02999999999997,1559482,GBR
United States of America,28536,133.87,2081677,USA
Uruguay,0,0.0,682,URY
Viet Nam,1,2.0,1805,VNM
Zambia,46,200.0,1117,ZMB
Zimbabwe,0,0.0,686,ZWE
